year,permanent_temporal_population,foreign_group,sector,sex,working_canton,nation,continent,europa_third_country,n_people
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zurich,Bulgaria,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zurich,Italy,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zurich,Poland,Europe,EU_8,11
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zurich,Portugal,Europe,EU_17,4
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zurich,Romania,Europe,EU_2,5
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zurich,Hungary,Europe,EU_8,4
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zurich,Slovak_Republic,Europe,EU_8,5
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zurich,Rare,Europe,third_countries,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zurich,Rare,America,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Bulgaria,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Poland,Europe,EU_8,20
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Portugal,Europe,EU_17,9
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Romania,Europe,EU_2,9
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Spain,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Hungary,Europe,EU_8,4
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Slovak_Republic,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Rare,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Rare,Europe,Rare,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Rare,Europe,third_countries,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Rare,America,third_countries,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Rare,America,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Luzern,Bulgaria,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Luzern,Germany,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Luzern,Poland,Europe,EU_8,16
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Luzern,Portugal,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Luzern,Romania,Europe,EU_2,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Luzern,Hungary,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Luzern,Slovak_Republic,Europe,EU_8,3
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Luzern,Rare,Europe,third_countries,5
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Luzern,Rare,America,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Luzern,Rare,America,third_countries,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Schwyz,Germany,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Schwyz,Italy,Europe,EU_17,4
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Schwyz,Austria,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Schwyz,Romania,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Schwyz,Rare,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Rare,Germany,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Rare,Bulgaria,Europe,EU_2,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Rare,Portugal,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Rare,Slovak_Republic,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zug,Bulgaria,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zug,Germany,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zug,Poland,Europe,EU_8,5
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zug,Romania,Europe,EU_2,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zug,Rare,Europe,third_countries,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zug,Rare,America,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Freiburg,Bulgaria,Europe,EU_2,7
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Freiburg,Poland,Europe,EU_8,12
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Freiburg,Portugal,Europe,EU_17,9
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Freiburg,Romania,Europe,EU_2,12
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Freiburg,Hungary,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Solothurn,Poland,Europe,EU_8,4
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Solothurn,Romania,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Solothurn,Rare,Europe,third_countries,4
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Solothurn,Rare,America,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Basel_Country,Germany,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Basel_Country,Poland,Europe,EU_8,7
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Basel_Country,Romania,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Basel_Country,Hungary,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Basel_Country,Rare,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Basel_Country,Rare,America,third_countries,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Schaffhausen,Poland,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Schaffhausen,Romania,Europe,EU_2,3
2019,permanent,short_resident_L_12_month,agriculture_sector,male,St_Gallen,Germany,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,St_Gallen,Italy,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,St_Gallen,Poland,Europe,EU_8,14
2019,permanent,short_resident_L_12_month,agriculture_sector,male,St_Gallen,Romania,Europe,EU_2,12
2019,permanent,short_resident_L_12_month,agriculture_sector,male,St_Gallen,Hungary,Europe,EU_8,3
2019,permanent,short_resident_L_12_month,agriculture_sector,male,St_Gallen,Rare,Europe,third_countries,11
2019,permanent,short_resident_L_12_month,agriculture_sector,male,St_Gallen,Rare,America,third_countries,3
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Grisons,Germany,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Grisons,Italy,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Grisons,Poland,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Grisons,Portugal,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Grisons,Romania,Europe,EU_2,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Grisons,Hungary,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Grisons,Rare,Europe,Rare,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Grisons,Rare,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Aargau,Poland,Europe,EU_8,14
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Aargau,Portugal,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Aargau,Romania,Europe,EU_2,4
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Aargau,Hungary,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Aargau,Slovak_Republic,Europe,EU_8,3
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Aargau,Rare,Europe,third_countries,7
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Aargau,Rare,Africa,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Aargau,Rare,America,third_countries,3
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Thurgau,Bulgaria,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Thurgau,Poland,Europe,EU_8,34
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Thurgau,Portugal,Europe,EU_17,7
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Thurgau,Romania,Europe,EU_2,24
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Thurgau,Hungary,Europe,EU_8,8
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Thurgau,Slovak_Republic,Europe,EU_8,5
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Thurgau,Rare,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Thurgau,Rare,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Thurgau,Rare,Africa,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Thurgau,Rare,America,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Thurgau,Rare,America,third_countries,4
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Tessin,Bulgaria,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Tessin,Italy,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Tessin,Rare,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Waadt,Bulgaria,Europe,EU_2,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Waadt,Poland,Europe,EU_8,5
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Waadt,Portugal,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Waadt,Romania,Europe,EU_2,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Waadt,Rare,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Wallis,Bulgaria,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Wallis,France,Europe,EU_17,4
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Wallis,Italy,Europe,EU_17,5
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Wallis,Poland,Europe,EU_8,7
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Wallis,Portugal,Europe,EU_17,12
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Wallis,Romania,Europe,EU_2,9
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Wallis,Spain,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Neuenburg,Portugal,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Neuenburg,Romania,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Genf,Poland,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Genf,Romania,Europe,EU_2,3
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Genf,Spain,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Rare,Poland,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Rare,Romania,Europe,EU_2,3
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Zurich,Poland,Europe,EU_8,6
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Zurich,Portugal,Europe,EU_17,4
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Zurich,Romania,Europe,EU_2,3
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Zurich,Slovak_Republic,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Zurich,Rare,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Zurich,Rare,Europe,third_countries,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Zurich,Rare,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Zurich,Rare,America,third_countries,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Bern,Germany,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Bern,Poland,Europe,EU_8,4
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Bern,Portugal,Europe,EU_17,13
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Bern,Romania,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Bern,Hungary,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Bern,Rare,Europe,Rare,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Bern,Rare,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Bern,Rare,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Luzern,Germany,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Luzern,Hungary,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Luzern,Rare,America,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Zug,Poland,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Freiburg,Bulgaria,Europe,EU_2,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Freiburg,Poland,Europe,EU_8,10
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Freiburg,Portugal,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Freiburg,Romania,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Solothurn,Rare,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Solothurn,Rare,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Solothurn,Rare,Asia,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Basel_Country,Poland,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Basel_Country,Hungary,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Basel_Country,Rare,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Schaffhausen,Romania,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Schaffhausen,Rare,Europe,third_countries,3
2019,permanent,short_resident_L_12_month,agriculture_sector,female,St_Gallen,Poland,Europe,EU_8,5
2019,permanent,short_resident_L_12_month,agriculture_sector,female,St_Gallen,Romania,Europe,EU_2,3
2019,permanent,short_resident_L_12_month,agriculture_sector,female,St_Gallen,Hungary,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,St_Gallen,Rare,Europe,third_countries,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,St_Gallen,Rare,Africa,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Grisons,Poland,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Aargau,Poland,Europe,EU_8,3
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Aargau,Hungary,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Aargau,Slovak_Republic,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Aargau,Rare,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Aargau,Rare,Europe,third_countries,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Thurgau,Bulgaria,Europe,EU_2,4
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Thurgau,Germany,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Thurgau,Poland,Europe,EU_8,17
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Thurgau,Portugal,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Thurgau,Romania,Europe,EU_2,5
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Thurgau,Hungary,Europe,EU_8,4
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Thurgau,Slovak_Republic,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Thurgau,Rare,Europe,third_countries,3
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Thurgau,Rare,America,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Thurgau,Rare,America,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Tessin,Rare,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Waadt,Portugal,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Wallis,Germany,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Wallis,France,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Wallis,Poland,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Wallis,Portugal,Europe,EU_17,16
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Neuenburg,Portugal,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Genf,Germany,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Genf,Poland,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Genf,Spain,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Bulgaria,Europe,EU_2,17
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Rare,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Germany,Europe,EU_17,12
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Rare,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Rare,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Rare,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Italy,Europe,EU_17,8
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Netherlands,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Austria,Europe,EU_17,3
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Poland,Europe,EU_8,8
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Portugal,Europe,EU_17,10
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Romania,Europe,EU_2,16
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Spain,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Hungary,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Slovak_Republic,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Rare,Europe,Rare,4
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Rare,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Rare,Africa,third_countries,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,USA,America,third_countries,6
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Rare,Asia,third_countries,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Rare,Asia,third_countries,4
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Rare,Asia,third_countries,3
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Bulgaria,Europe,EU_2,9
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Germany,Europe,EU_17,15
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,France,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Rare,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Rare,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Italy,Europe,EU_17,4
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Netherlands,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Austria,Europe,EU_17,6
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Poland,Europe,EU_8,3
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Portugal,Europe,EU_17,5
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Romania,Europe,EU_2,6
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Spain,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Rare,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Hungary,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Slovak_Republic,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Rare,Europe,Rare,8
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Rare,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Rare,Africa,third_countries,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Rare,Africa,third_countries,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Rare,America,third_countries,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Rare,Asia,third_countries,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Rare,Asia,third_countries,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Rare,Asia,third_countries,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Rare,Asia,third_countries,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Luzern,Rare,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Luzern,Bulgaria,Europe,EU_2,5
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Luzern,Germany,Europe,EU_17,6
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Luzern,France,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Luzern,Rare,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Luzern,Italy,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Luzern,Poland,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Luzern,Portugal,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Luzern,Romania,Europe,EU_2,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Luzern,Spain,Europe,EU_17,3
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Austria,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Portugal,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Romania,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Rare,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Spain,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Schwyz,Germany,Europe,EU_17,3
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Schwyz,Italy,Europe,EU_17,5
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Schwyz,Austria,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Schwyz,Poland,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Schwyz,Portugal,Europe,EU_17,11
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Schwyz,Romania,Europe,EU_2,11
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Schwyz,Rare,Europe,Rare,3
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Poland,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Portugal,Europe,EU_17,6
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Hungary,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Germany,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,France,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Rare,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Italy,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Austria,Europe,EU_17,12
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Poland,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Romania,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Rare,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Bulgaria,Europe,EU_2,4
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Germany,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,France,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Rare,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Italy,Europe,EU_17,3
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Portugal,Europe,EU_17,4
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Romania,Europe,EU_2,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Spain,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Hungary,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Rare,Slovak_Republic,Europe,EU_8,4
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zug,Bulgaria,Europe,EU_2,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zug,Germany,Europe,EU_17,3
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zug,Romania,Europe,EU_2,12
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zug,Hungary,Europe,EU_8,5
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zug,Rare,Europe,Rare,3
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zug,Rare,America,third_countries,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zug,Rare,America,third_countries,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zug,Rare,America,third_countries,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zug,USA,America,third_countries,4
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zug,Rare,Asia,third_countries,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Freiburg,Bulgaria,Europe,EU_2,5
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Freiburg,Italy,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Freiburg,Poland,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Freiburg,Portugal,Europe,EU_17,4
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Freiburg,Spain,Europe,EU_17,2
